"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QSAUDMBM","journalArticle","2022","Zhang, Ran; Li, Sen; Ding, Yuanming; Qin, Xutong; Xia, Qingyu","UAV Path Planning Algorithm Based on Improved Harris Hawks Optimization","Sensors","","","10.3390/S22145232","","","2022","2026-01-08 21:28:52","2026-01-08T21:28:52Z","","5232","","14","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QRNFTKIU","journalArticle","2021","Yu, Wangwang; Liu, Jun; Zhou, Jie","A Novel Sparrow Particle Swarm Algorithm (SPSA) for Unmanned Aerial Vehicle Path Planning","Scientific Programming","","","10.1155/2021/5158304","","","2021","2026-01-08 21:28:52","2026-01-08T21:28:52Z","","5158304","","","2021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9U32VZNZ","journalArticle","2022","Xu, Shufang; Li, Linlin; Zhou, Ziyun; Mao, Yingchi; Huang, Jianxin","A Task Allocation Strategy of the UAV Swarm Based on Multi-discrete Wolf Pack Algorithm","Applied Sciences","","","10.3390/APP12031331","","","2022","2026-01-08 21:28:51","2026-01-08T21:28:51Z","","1331","","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NMVPLI59","journalArticle","2025","Wang, Shuai","Research on Path Planning Method for Mobile Platforms Based on Hybrid Swarm Intelligence Algorithms in Multi-Dimensional Environments","Biomimetics","","","10.3390/BIOMIMETICS10080503","","","2025","2026-01-08 21:28:51","2026-01-08T21:28:51Z","","503","","8","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VY6TNEPD","journalArticle","2022","Wan, Yuting; Zhong, Yanfei; Ma, Ailong; Zhang, Liangpei","An Accurate UAV 3-D Path Planning Method for Disaster Emergency Response Based on an Improved Multiobjective Swarm Intelligence Algorithm","IEEE Transactions on Cybernetics","","","10.1109/TCYB.2022.3170580","","","2022","2026-01-08 21:28:51","2026-01-08T21:28:51Z","","3586–3599","","6","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KNEUPV9U","journalArticle","2025","Yang, Xingyu","Three-Dimensional Path Planning for UAV Based on Multi-Strategy Dream Optimization Algorithm","Biomimetics","","","10.3390/BIOMIMETICS10080551","","","2025","2026-01-08 21:28:51","2026-01-08T21:28:51Z","","551","","8","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AM7ATXR7","journalArticle","2022","Shafiq, Muhammad; Ali, Zain; Israr, Amber; Alkhammash, Eman H.; Hadjouni, Myriam; Jussila, Jari","Convergence Analysis of Path Planning of Multi-UAVs Using Max-Min Ant Colony Optimization Approach","Sensors","","","10.3390/S22145395","","","2022","2026-01-08 21:28:51","2026-01-08T21:28:51Z","","5395","","14","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X8KZX3QS","journalArticle","2022","Selma, Boumediene; Chouraqui, Samira; Selma, Belkacem; Abouaissa, Hassane","Design an Optimal ANFIS Controller using Bee Colony Optimization for Trajectory Tracking of a Quadrotor UAV","Journal of The Institution of Engineers (India): Series B","","","10.1007/S40031-022-00747-1","","","2022","2026-01-08 21:28:51","2026-01-08T21:28:51Z","","1077–1088","","6","103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MYXXCI4Q","conferencePaper","2025","B, Meera Srilekha; Leelipuushpam, Getzi Jeba","Swarm Intelligence-Based Trajectory Planning and Collision Avoidance for Flying Cars in Aerial Transportation","2025 1st International Conference on Radio Frequency Communication and Networks (RFCoN)","","","10.1109/RFCON62306.2025.11085189","","","2025","2026-01-08 21:28:51","2026-01-08T21:28:51Z","","1–6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNENUYV8","journalArticle","2022","Ji, Yisheng; Zhao, Xinchao; Hao, Junling","A Novel UAV Path Planning Algorithm Based on Double-Dynamic Biogeography-Based Learning Particle Swarm Optimization","Mobile Information Systems","","","10.1155/2022/8519708","","","2022","2026-01-08 21:28:51","2026-01-08T21:28:51Z","","8519708","","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RY2GPEZD","journalArticle","2025","Hu, Jialing; Zheng, Yanqi; Wang, Siwei; Zhou, Changjun","Improved Particle Swarm Optimization Based on Fuzzy Controller Fusion of Multiple Strategies for Multi-Robot Path Planning","Big Data and Cognitive Computing","","","10.3390/BDCC9090229","","","2025","2026-01-08 21:28:51","2026-01-08T21:28:51Z","","229","","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XCUDZ49M","journalArticle","2022","Fevgas, Georgios; Lekkas, Theodoros; Argyriou, Vasileios; Sarigiannidis, Panagiotis","Coverage Path Planning Methods Focusing on Energy Efficient and Cooperative Strategies for Unmanned Aerial Vehicles","Sensors","","","10.3390/S22031235","","","2022","2026-01-08 21:28:51","2026-01-08T21:28:51Z","","1235","","3","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HNF5NUJ6","journalArticle","2023","Huang, Chen; Zhou, Xiangbing; Ran, Xiaojuan; Wang, Jiamiao; Chen, Huayue; Deng, Wu","Adaptive cylinder vector particle swarm optimization with differential evolution for UAV path planning","Engineering Applications of Artificial Intelligence","","","10.1016/j.engappai.2023.105942","","","2023","2026-01-08 21:28:51","2026-01-08T21:28:51Z","","105942","","","121","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JLRIMI9V","conferencePaper","2024","Chen, Xufei; Hu, Yaowei; Li, Junhao; others","Research on Bi-Directional Collaborative Multi-Step Ant Colony Optimization for Path Planning","2024 3rd International Conference on Artificial Intelligence, Human-Computer Interaction and Robotics (AIHCIR)","","","10.1109/AIHCIR65563.2024.00007","","","2024","2026-01-08 21:28:51","2026-01-08T21:28:51Z","","1–7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S9DKKHHX","journalArticle","2023","Deng, Lixia; Chen, Huanyu; Zhang, Xiaoyiqun; Liu, Haiying","Three-Dimensional Path Planning of UAV Based on Improved Particle Swarm Optimization","Mathematics","","","10.3390/MATH11091987","","","2023","2026-01-08 21:28:51","2026-01-08T21:28:51Z","","1987","","9","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R3FYV4CQ","journalArticle","2022","Chu, Hongyue; Yi, Junkai; Yang, Fei","Chaos Particle Swarm Optimization Enhancement Algorithm for UAV Safe Path Planning","Applied Sciences","","","10.3390/APP12188977","","","2022","2026-01-08 21:28:51","2026-01-08T21:28:51Z","","8977","","18","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H279VLH9","journalArticle","2025","Chang, Xiao","Multi-Unmanned Aerial Vehicle Path Planning Based on Improved Nutcracker Optimization Algorithm","Drones","","","10.3390/DRONES9020116","","","2025","2026-01-08 21:28:51","2026-01-08T21:28:51Z","","116","","2","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G66YVC4Q","journalArticle","2021","Liu, Guiyun; Shu, Cong; Liang, Zhongwei; Peng, Baihao; Cheng, Lefeng","A Modified Sparrow Search Algorithm with Application in 3d Route Planning for UAV","Sensors","","1424-8220","10.3390/s21041224","https://www.mdpi.com/1424-8220/21/4/1224","The unmanned aerial vehicle (UAV) route planning problem mainly centralizes on the process of calculating the best route between the departure point and target point as well as avoiding obstructions on route to avoid collisions within a given ﬂight area. A highly efﬁcient route planning approach is required for this complex high dimensional optimization problem. However, many algorithms are infeasible or have low efﬁciency, particularly in the complex three-dimensional (3d) ﬂight environment. In this paper, a modiﬁed sparrow search algorithm named CASSA has been presented to deal with this problem. Firstly, the 3d task space model and the UAV route planning cost functions are established, and the problem of route planning is transformed into a multi-dimensional function optimization problem. Secondly, the chaotic strategy is introduced to enhance the diversity of the population of the algorithm, and an adaptive inertia weight is used to balance the convergence rate and exploration capabilities of the algorithm. Finally, the Cauchy–Gaussian mutation strategy is adopted to enhance the capability of the algorithm to get rid of stagnation. The results of simulation demonstrate that the routes generated by CASSA are preferable to the sparrow search algorithm (SSA), particle swarm optimization (PSO), artiﬁcial bee colony (ABC), and whale optimization algorithm (WOA) under the identical environment, which means that CASSA is more efﬁcient for solving UAV route planning problem when taking all kinds of constraints into consideration.","2021-02-09","2026-01-08 19:56:59","2026-01-08T19:56:59Z","2026-01-08 19:56:58","1224","","4","21","","Sensors","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PXKC74E7","journalArticle","2021","Sharma, Abhishek; Shoval, Shraga; Sharma, Abhinav; Pandey, Jitendra","Path Planning for Multiple Targets Interception by the Swarm of UAVs based on Swarm Intelligence Algorithms: A Review","IETE Technical Review","","","10.1080/02564602.2021.1894250","","","2021","2026-01-08 18:36:42","2026-01-08T18:36:42Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QSEH5HGS","journalArticle","2021","Liu, Qingli; Zhang, Yang; Li, Mengqian; Zhang, Zhenya; Cao, Na; Shang, Jiale","Multi-UAV Path Planning Based on Fusion of Sparrow Search Algorithm and Improved Bioinspired Neural Network","IEEE Access","","","10.1109/ACCESS.2021.3109879","","","2021","2026-01-08 18:36:42","2026-01-08T18:36:42Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QSI58YUA","journalArticle","2021","Liu, Haoting; Ge, Jianyue; Wang, Yuan; Li, Jiacheng; Ding, Kai; Zhang, Zhiqiang; Guo, Zhenhui; Li, Wei; Lan, Jinhui","Multi-UAV Optimal Mission Assignment and Path Planning for Disaster Rescue Using Adaptive Genetic Algorithm and Improved Artificial Bee Colony Method","Actuators","","","10.3390/ACT11010004","","","2021","2026-01-08 18:36:42","2026-01-08T18:36:42Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2N39D9B3","journalArticle","2021","Chen, Jinchao; Ling, Fuyuan; Zhang, Ying; You, Tao; Liu, Yifan; Du, Xiao","Coverage path planning of heterogeneous unmanned aerial vehicles based on ant colony system","Swarm and Evolutionary Computation","","","10.1016/J.SWEVO.2021.101005","","","2021","2026-01-08 18:36:40","2026-01-08T18:36:40Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G6D9V39Y","journalArticle","2021","Mathew, Alex T; Paul, Ajay; Rojan, Akshay; Thomas, Amith","Implementation of Swarm Intelligence Algorithms for Path Planning","","","","10.1088/1742-6596/1831/1/012008","","","2021","2026-01-07 22:11:27","2026-01-07T22:11:27Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9NIQWLLM","journalArticle","2021","Ntakolia, Charis; Lyridis, Dimitrios V.","A Swarm Intelligence Graph-Based Pathfinding Algorithm Based on Fuzzy Logic (SIGPAF): A Case Study on Unmanned Surface Vehicle Multi-Objective Path Planning","Journal of Marine Science and Engineering","","","10.3390/JMSE9111243","","","2021","2026-01-07 22:11:27","2026-01-07T22:11:27Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"THMLB6SR","journalArticle","2021","Pan, Nan; Zhang, Miaohan; Sun, Yuxuan; Chen, Shiyun; Liu, Haishi; Guo, Xiaojue","Study on border patrol task planning of heterogeneous UAVs group based on swarm intelligence","Science progress","","","10.1177/00368504221094722","","","2021","2026-01-07 22:11:26","2026-01-07T22:11:26Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q3FL5WWA","journalArticle","2021","Puente-Castro, Alejandro; Rivero, Daniel; Pazos, Alejandro; Fernández-Blanco, Enrique","A review of artificial intelligence applied to path planning in UAV swarms","Neural computing & applications (Print)","","","10.1007/S00521-021-06569-4","","","2021","2026-01-07 22:11:26","2026-01-07T22:11:26Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LDN8864I","journalArticle","2021","Phung, Manh Duong; Ha, Q. P.","Safety-enhanced UAV Path Planning with Spherical Vector-based Particle Swarm Optimization","Applied Soft Computing","","","10.1016/J.ASOC.2021.107376","","","2021","2026-01-07 22:11:26","2026-01-07T22:11:26Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3MPGW6PI","journalArticle","2021","Lin, Siqi; Fei-Fei, Li; Li, Xuyang; Jia, Kejin; Zhang, Xiaowei","Improved Artificial Bee Colony Algorithm Based on Multi-Strategy Synthesis for UAV Path Planning","IEEE Access","","","10.1109/ACCESS.2022.3218685","","","2021","2026-01-07 22:11:26","2026-01-07T22:11:26Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BP7HH6MZ","journalArticle","2025","Zuo, Lei; Wang, Ying; Lu, Yu; Gu, Ruiwen; Zuo, Lei; Wang, Ying; Lu, Yu; Gu, Ruiwen","Hybrid APF–PSO Algorithm for Regional Dynamic Formation of UAV Swarms","Drones","","2504-446X","10.3390/drones9090618","https://www.mdpi.com/2504-446X/9/9/618","HighlightsFirst implementation of a drone swarm network for aerial protection in civil aviation zones, critical harbors, and restricted air spaces. Th...","2025-09-01","2026-01-07 15:09:23","2026-01-07T15:09:23Z","2026-01-07 15:09:23","","","9","9","","","","","","","","publisher","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Company: Multidisciplinary Digital Publishing Institute Distributor: Multidisciplinary Digital Publishing Institute Institution: Multidisciplinary Digital Publishing Institute Label: Multidisciplinary Digital Publishing Institute","","","","","UAV swarm; artificial potential field; collision avoidance; cooperative interception; particle swarm optimization; protective coverage maximization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
