"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Research on Path Planning Problem of Multi-UAV Data Acquisition System for Emergency Scenario","W. Han; W. Li","School of Telecommunication Engineering, Beijing Polytechnic, Beijing, China; School of Telecommunication Engineering, Beijing Polytechnic, Beijing, China",2021 International Conference on Electronic Information Technology and Smart Agriculture (ICEITSA),"16 Feb 2022","2021","","","210","215","Due to its high mobility, low cost, easy deployment, scalability, and intelligent characteristics, UAV has been widely used in the military and civil fields. However, considering that the endurance of UAV itself is limited to a certain extent, and the terrain of the affected area is often complex, and there is a lot of information to be collected, Therefore, reasonable path planning is the key to improving the efficiency of UAV data collection. By analyzing the above background, it leads to the significance of UAV path planning in emergency scenarios. Then, starting from the path planning of a single UAV, the classic algorithms of path planning of a single UAV are investigated, and the basic ideas and algorithm flow are analyzed. Thirdly, given the characteristics of the need to improve the efficiency of information retrieval in emergency scenarios, it is analyzed that compared with a single UAV, multi-UAV has higher search efficiency, better system stability, and is easier to realize in practical application. Ant colony algorithm is used to realize the cooperative search of multiple UAVs. In this part, the modeling process, design idea, search principle, and other details of the algorithm are introduced in detail, and its advantages are analyzed. After that, the feasibility of the algorithm is verified by simulation, and the advantages compared with other algorithms are compared. Finally, the shortcomings of the current algorithm and prospects are analyzed, and ideas for improvement are proposed.","","978-1-6654-1300-8","10.1109/ICEITSA54226.2021.00049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9707296","Multi-UAV;path planning;a * algorithm;ant colony algorithm","Process design;Scalability;Market research;Information retrieval;Path planning;Stability analysis;Information technology","","2","","10","IEEE","16 Feb 2022","10-12 Dec. 2021","10-12 Dec. 2021","IEEE","IEEE Conferences"
"Coverage Path Planning Optimization of Heterogeneous UAVs Group for Precision Agriculture","R. I. Mukhamediev; K. Yakunin; M. Aubakirov; I. Assanov; Y. Kuchin; A. Symagulov; V. Levashenko; E. Zaitseva; D. Sokolov; Y. Amirgaliyev","Institute of Automation and Information Technology, Satbayev University (KazNRTU), Almaty, Kazakhstan; Institute of Automation and Information Technology, Satbayev University (KazNRTU), Almaty, Kazakhstan; Maharishi International University, Fairfield, IA, USA; Institute of Automation and Information Technology, Satbayev University (KazNRTU), Almaty, Kazakhstan; Institute of Automation and Information Technology, Satbayev University (KazNRTU), Almaty, Kazakhstan; Institute of Automation and Information Technology, Satbayev University (KazNRTU), Almaty, Kazakhstan; Faculty of Management Science and Informatics, University of Žilina, Žilina, Slovakia; Faculty of Management Science and Informatics, University of Žilina, Žilina, Slovakia; CNRS, Inria, LORIA, Université de Lorraine, Nancy, France; Institute of Information and Computational Technologies, Almaty, Kazakhstan",IEEE Access,"20 Jan 2023","2023","11","","5789","5803","Precision farming is one of the ways of transition to the intensive methods of agricultural production. The case of application of unmanned aerial vehicles (UAVs) for solving problems of agriculture and animal husbandry is among the actively studied issues. The UAV is capable of solving the tasks of monitoring, fertilizing, herbicides, etc. However, the effective use of UAV requires to solve the tasks of flight planning, taking into account the heterogeneity of the available attachments and the problem solved in the process of the overflight. This research investigates the problem of flight planning of a group of heterogeneous UAVs applied to solving the issues of coverage, which may arise both in the course of monitoring and in the process of the implementation of agrotechnical measures. The method of coverage path planning of heterogenic UAVs group based on a genetic algorithm is proposed; this method provides planning of flight by a group of UAVs using a moving ground platform on which UAVs are recharged and refueled (multi heterogenic UAVs coverage path planning with moving ground platform (mhCPPmp)). This method allows calculating a fly by to solve the task of covering fields of different shapes and permits selecting the optimal subset of UAVs from the available set of devices; it also provides a 10% reduction in the cost of a flyby compared to an algorithm that does not use heterogeneous UAVs or a moving platform.","2169-3536","","10.1109/ACCESS.2023.3235207","Science Committee of the Ministry of Education and Science of the Republic of Kazakhstan through the Development and Adaptation of Computer Vision and Machine Learning Methods for Solving Precision Agriculture Problems Using Unmanned Aerial Systems(grant numbers:AP14869972); Science Committee of the Ministry of Education and Science of the Republic of Kazakhstan through the Development of Intelligent Data Processing and Flight Planning Models for Precision Farming Tasks Using UAVs(grant numbers:AP08856412); Science Committee of the Ministry of Education and Science of the Republic of Kazakhstan through the Development of a Data Mining System for Monitoring Dams and Other Engineering Structures under the Conditions of Man-Made and Natural Impacts(grant numbers:BR18574144); Science Committee of the Ministry of Education and Science of the Republic of Kazakhstan through the Space Monitoring and GIS for Quantitative Assessment of Soil Salinity and Degradation of Agricultural Lands in South Kazakhstan(grant numbers:BR10965172); Slovak Research and Development Agency through the New Methods Development for Reliability Analysis of Complex System(grant numbers:APVV-18–0027); Ministry of Education, Science, Research, and Sport of the Slovak Republic through the New Approaches of Reliability Analysis of Non-Coherent Systems(grant numbers:VEGA 1/0165/21); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10011226","Precision agriculture;heterogeneous UAVs;monitoring;coverage path planning","Path planning;Precision engineering;Monitoring;Genetic algorithms;Path planning;Agriculture;Wireless sensor networks;Smart agriculture","","107","","76","CCBY","9 Jan 2023","2023","","IEEE","IEEE Journals"
"Research on Optimal Spraying Path of Agricultural Unmanned Aerial Vehicle Based on Particle Swarm and Genetic Algorithm","Y. Zhou","College of Engineering, Northeast Agricultural University, Harbin, China","2024 International Conference on Electronics and Devices, Computational Science (ICEDCS)","16 Jan 2025","2024","","","517","521","With the rapid development of intelligent agriculture, intelligent agricultural machinery is continuously applied to agricultural production. But for agricultural UAVs in the spraying operation process of the path planning research, this paper firstly analyzed the optimal spraying path planning for agricultural drones, and used particle swarm algorithm (PSO) to optimize it, and secondly used genetic algorithm (GA) to carry out planning research on the paths of agricultural drones, and finally used MATLAB to carry out simulation on the path planning under PSO and GA, and compared the differences between the two algorithms and given the final optimized paths. Through the simulation comparison and analysis, it was found that the path planning results under PSO were more accurate, and there were fewer computational steps under GA, which verified the feasibility and validity of the optimization algorithm model through simulation comparison and analysis and provided an effective basis for the subsequent design of agricultural UAVs.","","979-8-3315-2762-4","10.1109/ICEDCS64328.2024.00098","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10834838","Agricultural drones;particle swarm algorithms;genetic algorithms;path planning","Accuracy;Spraying;Genetics;Path planning;Mathematical models;Planning;Particle swarm optimization;MATLAB;Optimization;Genetic algorithms","","","","12","IEEE","16 Jan 2025","23-25 Sept. 2024","23-25 Sept. 2024","IEEE","IEEE Conferences"
"Smart Path Planning for UAV Navigation in Apple Orchards Using Digital Twin Validation","A. Chatzisavvas; D. Ziouzios; N. Baras; G. Papamichail; M. Dasygenis","Department of Electrical & Computer Engineering, University of Western Macedonia, Kozani, Greece; Department of Electrical & Computer Engineering, University of Western Macedonia, Kozani, Greece; Department of Electrical & Computer Engineering, University of Western Macedonia, Kozani, Greece; Department of Electrical & Computer Engineering, University of Western Macedonia, Kozani, Greece; Department of Electrical & Computer Engineering, University of Western Macedonia, Kozani, Greece","2025 10th South-East Europe Design Automation, Computer Engineering, Computer Networks and Social Media Conference (SEEDA-CECNSM)","19 Jan 2026","2025","","","1","4","This paper proposes an effective strategy for autonomous UAV path planning in apple orchards, aiming to enhance operational efficiency and flight safety in agricultural environments. The orchard is represented as a weighted graph, where each node corresponds to an apple tree and the edges are assigned weights equal to the Euclidean distances between trees. By employing Dijkstra's algorithm, the optimal route connecting selected apple trees is computed, enabling the UAV to traverse the orchard with minimal travel distance. To further refine the computed trajectory and ensure smooth and stable flight dynamics, a moving average smoothing technique is applied to the discrete path points, significantly reducing abrupt directional changes. The resulting smoothed path facilitates safer and more reliable UAV navigation, making the proposed strategy wellsuited for precision agriculture tasks such as crop inspection, yield monitoring, and targeted spraying in operational apple orchard environments. The effectiveness of the strategy was validated through digital twin simulations implemented in MATLAB, replicating the orchard environment and UAV dynamics.","","979-8-3315-7102-3","10.1109/SEEDA-CECNSM68644.2025.11329958","European Union(grant numbers:KA220-HED-89BA8390); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11329958","Apple orchard;Digital twin;UAV;Path planning;Moving average smoothing;Autonomous navigation","Smoothing methods;Navigation;Social networking (online);Trees (botanical);Spraying;Autonomous aerial vehicles;Digital twins;Trajectory;Safety;Reliability","","","","11","IEEE","19 Jan 2026","19-21 Sept. 2025","19-21 Sept. 2025","IEEE","IEEE Conferences"
"UAV swarms & Task allocation: the way ahead in precision agriculture","I. Karampelia; T. Kyriakidis; M. Louta","Department of Electrical and Computer Engineering, Faculty of Engineering, University of Western Macedonia, Kozani, Greece; Department of Electrical and Computer Engineering, Faculty of Engineering, University of Western Macedonia, Kozani, Greece; Department of Electrical and Computer Engineering, Faculty of Engineering, University of Western Macedonia, Kozani, Greece","2023 14th International Conference on Information, Intelligence, Systems & Applications (IISA)","15 Dec 2023","2023","","","1","8","Unmanned Aerial Vehicle (UAV) swarms are increasingly being used in various applications, including environmental monitoring, search and rescue operations, and surveillance. One of the primary challenges of UAV swarm technology is task allocation, which involves assigning tasks to individual drones within the swarm. Task allocation is a complex problem, and traditional algorithms may not be effective in large-scale and dynamic environments. In this paper, we introduce the concept of a task allocation model for UAV swarms aiming to optimize the task allocation process by considering the drones' capabilities and the requirements of the task while minimizing the overall energy consumption. Additionally, we discuss other challenges associated with UAV swarm technology, such as communication and routing protocols, swarm intelligence, collision avoidance, formation controls and task allocation algorithms. This research aims to identify key challenges and research gaps associated with the use of algorithms for UA V swarm task allocation and propose potential solutions and future research directions to overcome these challenges and enable the full potential of UAV swarm technology in various applications, such as precision agriculture. Specifically, in future work, we plan to evaluate the effectiveness of the proposed model using simulation experiments and compare it with existing approaches, as well as to develop a path planning algorithm based on swarm intelligence.","","979-8-3503-1806-7","10.1109/IISA59645.2023.10345854","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10345854","Unmanned Aerial Vehicles;multi-UAV;task allocation algorithms;cooperative task assignment;linear programming","Heuristic algorithms;Surveillance;Programming;Autonomous aerial vehicles;Routing protocols;Resource management;Task analysis","","8","","30","IEEE","15 Dec 2023","10-12 July 2023","10-12 July 2023","IEEE","IEEE Conferences"
"Drone Swarm Intelligence: AI-Driven Autonomous Coordination for Aerial Applications","A. Shrivastava; R. V. S. Praveen; R. H. C. Alfilh; K. Yadav; A. Kumar; O. Krishna","Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Chennai, India; Utilities America LTIMindtree Limited, Houston, USA; Department of Computers Techniques Engineering, College of Technical Engineering, The Islamic University, Najaf, Iraq; Department of Electrical Engineering, GLA University, Mathura, India; Lloyd Institute of Engineering & Technology, Gr. Noida, India; Lloyd Law College, Gr. Noida, India",2025 IEEE International Conference on Advances in Computing Research On Science Engineering and Technology (ACROSET),"16 Dec 2025","2025","","","1","7","The integration of artificial intelligence (AI) into drone swarm systems is revolutionizing the landscape of autonomous aerial operations across a variety of sectors including defense, agriculture, disaster response, and smart city monitoring. This paper explores the emergence of drone swarm intelligence, focusing on the application of AI-driven coordination mechanisms that enable real-time, decentralized, and cooperative decision-making among multiple unmanned aerial vehicles (UAVs). Traditional centralized control approaches often suffer from scalability, latency, and single-point-of-failure issues. In contrast, intelligent swarm architectures leverage machine learning, reinforcement learning, and bio-inspired algorithms to achieve adaptive behavior, fault tolerance, and robust navigation in dynamic environments. We examine state-of-the-art techniques for swarm formation control, obstacle avoidance, and collaborative mission execution. Simulation frameworks and real-world testbeds are reviewed to evaluate performance metrics such as convergence speed, energy efficiency, and communication overhead. The study also highlights ethical and regulatory challenges, including collision avoidance protocols, data security, and civilian privacy concerns. Through comprehensive analysis and comparative evaluations, this work aims to offer a holistic understanding of how AI empowers drone swarms with emergent intelligence for autonomous aerial missions. The findings contribute to the future development of resilient, scalable, and mission-critical UAV swarm systems.","","978-1-6654-5810-8","10.1109/ACROSET66531.2025.11280890","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11280890","Drone Swarms;Swarm Intelligence;Artificial Intelligence;Autonomous Coordination;Aerial Robotics;Multi-UAV Systems","Smart cities;Heuristic algorithms;Simulation;Scalability;Autonomous aerial vehicles;Swarm intelligence;Collision avoidance;Vehicle dynamics;Drones;Convergence","","","","15","IEEE","16 Dec 2025","27-28 Sept. 2025","27-28 Sept. 2025","IEEE","IEEE Conferences"
"Categorization/Applications of UAVs and Development of Collision Avoidance Modeling","V. L; G. R. K; S. S; T. M","DEEE, Sri Sairam Institute of Technology, Chennai, India; DEEE, Sri Sairam Institute of Technology, Chennai, India; DEEE, Sri Sairam Institute of Technology, Chennai, India; DEEE, Sri Sairam Institute of Technology, Chennai, India",2025 International Conference on Computing and Communication Technologies (ICCCT),"10 Jun 2025","2025","","","1","5","Drones, also known as Unmanned Aerial Vehicles (UAV), have developed drastically in various sectors by producing various advantages such as autonomous drive, access to remote places, and faster collection of data. Here, in-depth study analysis is made on UAVs, identifying their main features, characteristics, and vast range of applications. The study of drones is split into three parts: based on their design parameters, type of applications used, and a simulation model of UAV is developed using MATLAB software with drone's analysis. A UAV is classified based on primary characteristics, such as carrying load capacity, operational endurance, and tracking technologies, which drastically affect their effectiveness in real-world use. Drones are very useful in sectors like farming, emergency activities, surveillance, deliveries, and monitoring various activities, for reducing human involvement. This paper discusses about the advancements in UAV technology, focusing on artificial intelligence, automation, and sensor integration for faster actions on necessary needs. The developed simulation analysis explores UAV flight mechanics, stability, and control systems, offering insights into pathing and mission planning to improve practical development of drones with ease. Overall, this research demonstrates the importance of UAVs in addressing critical challenges and sets the base for various future innovations, aiming to advance drone usage across various sectors and path a more defined future with technological advancements in drone.","2995-3197","979-8-3315-3757-9","10.1109/ICCCT63501.2025.11019328","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11019328","UAV characteristics;UAV simulation;flight dynamics;automation","Adaptation models;Automation;Surveillance;Autonomous aerial vehicles;Mathematical models;Safety;Trajectory;MATLAB;Artificial intelligence;Drones","","","","10","IEEE","10 Jun 2025","16-17 April 2025","16-17 April 2025","IEEE","IEEE Conferences"
"Self-awareness approach for complete coverage metrology using autonomous systems","M. E. Miñano; P. F. Peña; Z. He; D. M. Gómez","Intelligent Systems Lab (LSI), Universidad Carlos III de Madrid, Madrid; Drone Hopper S.L, Madrid; Key Lab. for Power Machinery and Engineering of M. O. E. Shanghai, Jiao Tong University, Shanghai, P R China; Intelligent Systems Lab (LSI), Universidad Carlos III de Madrid, Madrid",2022 IEEE 9th International Workshop on Metrology for AeroSpace (MetroAeroSpace),"18 Aug 2022","2022","","","13","17","Unmanned aerial vehicles (UAV) are autonomous systems with embedded intelligence. Despite the numerous advantages they bring, multiple problems have been arisen in the past, like collision detection and avoidance of multiple aerial aircrafts. The recent advances of on-board sensors and computation devices have allowed complete ground-breaking improvements, in the present and forthcoming navigation of multiple UAVs. These are now fostering the implantation of the next generation of autonomous aerial aircrafts, with a growing potential in important sectors like precision agriculture. Industries like, Drone hopper, are developing new advanced aerial platforms that will provide deep support to automation in the agriculture fields where it is necessary to optimize multiple trajectories of UAVs to accomplish tasks, such as, fumigation, irrigation, and strengthening plant growth. Precise measurements and UAV’s trajectory planning are necessary task for the complete coverage optimization problem. In this paper, we analyze and simulate a fully distributed solution with a self-awareness approach. Our solution has been tested in simulation (code, video) and it will be applied in a near future to real operations in outdoor environments using efficient and robust platforms provided by the Drone Hopper company.","2575-7490","978-1-6654-1076-2","10.1109/MetroAeroSpace54187.2022.9856278","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9856278","self-awareness;complete coverage;drone swarm;metrology;autonomous systems;agriculture","Autonomous systems;Trajectory planning;Plants (biology);Metrology;Autonomous aerial vehicles;Aircraft navigation;Trajectory","","1","","10","IEEE","18 Aug 2022","27-29 June 2022","27-29 June 2022","IEEE","IEEE Conferences"
"Crow Search Algorithm for Energy-Efficient UAV Path Planning in Large-Scale Aerial Surveys","S. Amutha; S. V. Ramanan; S. Ganesan; B. Leena; A. J; M. D. Choudhry; M. Sundarrajan","Department of Computer Science and Engineering, School of Computing, Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology, Chennai, Tamil Nadu, India; Department of Electronics and Communication Engineering, PPG Institute of Technology, Coimbatore, Tamil Nadu, India; Department of Biomedical Engineering, Mahendra Institute of Technology, Namakkal, Tamil Nadu, India; Department of Electronics and Communication Engineering, KGiSL Institute of Technology, Coimbatore, Tamil Nadu, India; Department of Computational Intelligence, SRM Institute of Science and Technology, Chennai, Tamil Nadu, India; Department of Computing Technologies, SRM Institute of Science and Technology, Chennai, Tamil Nadu, India; Department of Networking and Communications, SRM Institute of Science and Technology, Chennai, Tamil Nadu, India","2025 3rd International Conference on Device Intelligence, Computing and Communication Technologies (DICCT)","12 May 2025","2025","","","556","561","UAVs have been extremely influential for applications such as remote/sensing, disaster response, surveillance, and infrastructure monitoring. They are valuable in modern-day operations because they can conduct high-precision aerial surveys autonomously. Most of the existing trajectory planning approaches are based on metaheuristic algorithms of Particle Swarm Optimization (PSO), Genetic Algorithm (GA), and Ant Colony Optimization (ACO), which are capable of providing satisfactory results. Still, they are computationally expensive with slow convergence and sensitive to local optima. In this paper, the challenges raised above are addressed by an Optimized Trajectory Planning Framework based on the Crow Search Algorithm (CSA). It is based on a nature-inspired optimization technique that mimics the intelligent foraging behavior of crows. The proposed approach dynamically adjusts the UAV flight path by balancing the exploration and exploitation, to compute the optimal trajectory quickly and meanwhile to save energy and avoid the obstacle. Unlike other metaheuristic methods, the Crow Search Algorithm does not confront the premature convergence problem and can guarantee adaptive path optimization even under uncertain environmental conditions. Results show that the energy efficiency performance of the Crow Search Algorithm is 15 percent better, the performance in terms of coverage is 20 percent improved, and the speed of convergence is 30 percent faster compared to various state-of-the-art methods. These experimental findings demonstrate that integrating CSA into UAV trajectory planning offers high computational efficiency, obstacle avoidance, and mission endurance, rendering it a superior UAV trajectory planning algorithm for real-time aerial navigation and autonomous surveillance applications.","","979-8-3315-4335-8","10.1109/DICCT64131.2025.10986680","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10986680","UAV Trajectory Optimization;Crow Search Algorithm;Path Planning;Obstacle Avoidance;Metaheuristic Optimization;Autonomous Surveillance","Surveys;Trajectory planning;Surveillance;Heuristic algorithms;Metaheuristics;Autonomous aerial vehicles;Energy efficiency;Real-time systems;Collision avoidance;Convergence","","1","","16","IEEE","12 May 2025","21-22 March 2025","21-22 March 2025","IEEE","IEEE Conferences"
"Low-Altitude UAV Trajectory Optimization for Complex 3D Terrains Based on Energy Consumption","N. Ouyang; J. Xie; F. Lin","College of Software Engineering, Sichuan University, Chengdu, China; College of Computer Science, Sichuan University, Chengdu, China; College of Computer Science, Sichuan University, Chengdu, China",2025 6th International Conference on Computer Engineering and Application (ICCEA),"13 Aug 2025","2025","","","01","08","With the widespread use of UAV technology in industries such as environmental monitoring, smart agriculture, and geographic mapping, optimizing the energy efficiency of UAVs with limited battery capacity has become a major concern. Traditional trajectory planning research is restricted to two-dimensional techniques and employs a simplified energy consumption model, making it impossible to adequately reflect the true influence of diverse terrain on flight energy consumption. This work presents a three-dimensional flight energy consumption model and proposes a novel low-altitude trajectory planning method based on an upgraded ant colony algorithm. A dynamic pheromone updating mechanism and an elite approach are used to maximize the heuristic formulation of the climb energy consumption coefficient and obstruction penalty coefficient. Simulation experiments with real topographic data from Jiuzhaigou Valley show that the proposed method reduces energy usage by $9.1 \%-36.3 \%$ when compared to existing greedy algorithms while maintaining comprehensive coverage.","2159-1288","979-8-3315-4330-3","10.1109/ICCEA65460.2025.11103265","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11103265","unmanned aerial vehicles;trajectory planning;energy consumption;mountain environment","Greedy algorithms;Energy consumption;Solid modeling;Three-dimensional displays;Systematics;Trajectory planning;Heuristic algorithms;Autonomous aerial vehicles;Vehicle dynamics;Trajectory optimization","","1","","22","IEEE","13 Aug 2025","25-27 April 2025","25-27 April 2025","IEEE","IEEE Conferences"
"Bio-Inspired Neuro-Swarm Communication Protocol with Dynamic Spectrum Intelligence for IoT and UAV Networks","T. S; L. G. C. S; S. L. Priyenga; N. K","School of Engineering and Technology, Jeppiaar University, Chennai, India; School of Engineering and Technology, Jeppiaar University, Chennai, India; School of Engineering and Technology, Jeppiaar University, Chennai, India; School of Engineering and Technology, Jeppiaar University, Chennai, India",2025 Tenth International Conference on Science Technology Engineering and Mathematics (ICONSTEM),"18 Feb 2026","2025","","","1","9","With the rapid proliferation of Internet of Things (IoT) devices and the increasing use of Unmanned Aerial Vehicles (UAVs) in dynamic environments, the need for adaptive, reliable, and energy-efficient communication protocols has become paramount. Conventional routing and spectrum assignment algorithms find it difficult to address the non-stationary and decentralization of such networks. In order to address them, this paper suggests the Bio-Inspired Neuro-Swarm Communication Protocol (BNSCP) in combination with Dynamic Spectrum Intelligence to optimize communication in the UAV-assisted IoT networks. The protocol models neuro-swarm agent nodes with spiking neural network logic of forwarding packets and ant colony optimization and energy-wise mobility and relative positioning. Multi-Armed Bandit learning is used to improve spectrum sensing to allow real-time selection of channels and the neuro-immune anomaly detection layer guarantees security and reliability in adversarial environments. It has been shown in experiments that the proposed model is much more effective than the traditional protocols such as AODV, LEACH, and even the newest learning-based models. In particular, BNSCP delivers packets with a Packet Delivery Ratio (PDR) of 94.7, end-to-end delay per packet is reduced to 139 ms, spectrum is used more efficiently up to 86% and energy consumption is reduced by 20% over current baselines. Further, the neuroimmune model has an accuracy of 96.5% in intrusion detection with a false alarm rate of 4.8% false alarm rate. BNSCP is a powerful and scalable solution to the next-generation IoT-UAV ecosystems as a combination of the bio-inspired intelligence with the dynamic spectrum learning. This is a prospective implementation base of adaptive mission-critical systems of smart agriculture, disaster response, and real-time surveillance.","2996-2986","979-8-3315-6187-1","10.1109/ICONSTEM65670.2025.11374760","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11374760","IoT;UAV;bio-inspired routing;swarm intelligence;dynamic spectrum access;spiking neural network;energy-aware mobility;neuroimmune security","Protocols;Biological system modeling;Spiking neural networks;Autonomous aerial vehicles;Routing;Real-time systems;Internet of Things;Security;Reliability;Vehicle dynamics","","","","15","IEEE","18 Feb 2026","6-7 Nov. 2025","6-7 Nov. 2025","IEEE","IEEE Conferences"
"Hybrid Deep Reinforcement Learning for UAV Inspection in Large-Scale Wind Farms: Deployment and Routing Optimization","X. -Y. Zhang; H. Yu; X. Zheng; H. Wang; C. Mu; P. Guo","School of Artificial Intelligence, Anhui University, Hefei, China; School of Artificial Intelligence, Anhui University, Hefei, China; School of Artificial Intelligence, Anhui University, Hefei, China; School of Artificial Intelligence, Anhui University, Hefei, China; School of Artificial Intelligence, Anhui University, Hefei, China; State Key Laboratory of Power System and Generation Equipment and the Department of Electrical Engineering, Tsinghua University, Beijing, China",IEEE Transactions on Industrial Informatics,"17 Oct 2025","2025","21","11","9011","9021","The growth of global wind capacity necessitates efficient maintenance and inspection, particularly in offshore wind farms. However, existing manual inspection method is time consuming and lacks scalability. This article introduces an autonomous unmanned aerial vehicle (UAV) inspection method for offshore wind farms by combing heuristic algorithm with deep reinforcement learning (DRL). Our approach integrates UAVs deployment and routing optimization, factoring in environmental conditions, such as wind and weather. The inspection task is divided into UAVs deployment and routing optimization, with models constructed for UAVs, offshore wind farms, and wind conditions. A heuristic algorithm is used to optimize UAVs deployment, ensuring efficient coverage despite the UAVs’ limited range. For routing optimization, we develop a DRL model for effective path planning of UAVs simultaneously. Experimental results demonstrate the superior efficiency of our approach in terms of coverage, energy consumption, and adaptability to environmental changes. By introducing the hybrid DRL algorithm, a scalable and robust solution for offshore wind farm inspections is developed, enhancing both operational efficiency and reliability.","1941-0050","","10.1109/TII.2025.3593966","National Natural Science Foundation of China(grant numbers:62303005,W2421091,U24A20243); Hefei Key Science and Technology Special Projects(grant numbers:2024SZD006); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11125814","Deep reinforcement learning (DRL);multiobject optimization;routing optimization;unmanned aerial vehicle (UAV);wind farm inspection","Autonomous aerial vehicles;Inspection;Wind farms;Heuristic algorithms;Routing;Optimization;Energy consumption;Wind turbines;Thermal sensors;Blades;Deep reinforcement learning","","2","","30","IEEE","14 Aug 2025","Nov. 2025","","IEEE","IEEE Journals"
"Research Advances in Obstacle Avoidance Path Planning Algorithms for Unmanned Aerial Vehicles","H. Li; X. Duan","School of Electromechanical and Information Engineering, Chengdu Agricultural College, Chengdu, China; School of Electromechanical and Information Engineering, Chengdu Agricultural College, Chengdu, China","2025 2nd International Conference on Algorithms, Software Engineering and Network Security (ASENS)","27 May 2025","2025","","","185","193","With the rapid advancement of drone technology, drones have demonstrated significant application potential in various fields such as agriculture, military, and logistics due to their efficiency and flexibility. However, the practical application of drones in obstacle avoidance tasks faces multiple challenges, including complex environmental perception, algorithmic performance bottlenecks, hardware compatibility issues, and system stability and reliability. These challenges have somewhat constrained the transformation of drones' potential into actual productivity. Therefore, research and development in obstacle avoidance technology for agricultural drones are crucial. This study analyzes the current difficulties and challenges faced by obstacle avoidance path planning algorithms, focusing on the classification, principles, advantages, and disadvantages of these algorithms, as well as their optimization and application in terms of real-time performance and efficiency. The study also looks forward to the future development trends of drone obstacle avoidance path planning algorithms, suggesting that future research will concentrate on the innovative integration of multiple algorithms, deeper fusion with AI technology, optimization of algorithms for specific environments, enhancement of real-time performance and robustness, coordinated hardware development, and improvement of multi-drone collaborative algorithms. These advancements aim to adapt to more complex flying and obstacle avoidance environments, thereby promoting the standardization and industrialization of drone technology.","","979-8-3315-2029-8","10.1109/ASENS64990.2025.11011145","Chengdu Science and Technology Bureau; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11011145","Unmanned Aerial Vehicles;Obstacle Avoidance Technology;Path Planning Algorithms","Software algorithms;Standardization;Autonomous aerial vehicles;Path planning;Real-time systems;Hardware;Classification algorithms;Collision avoidance;Optimization;Drones","","","","45","IEEE","27 May 2025","21-23 March 2025","21-23 March 2025","IEEE","IEEE Conferences"
"DWA vs RFA-Star: Choosing the Optimal Navigator","M. Basu; R. Matam","Department of Computer Science and Engineering, Indian Institute of Information Technology Guwahati, India; Department of Computer Science and Engineering, Indian Institute of Information Technology Guwahati, India","2025 International Conference on Sustainability, Innovation & Technology (ICSIT)","19 Dec 2025","2025","","","1","6","This paper aims to provide a detailed comparison of two of the most widely used unmanned aerial vehicle (UAV) path planning algorithms: the Dynamic Window Algorithm (DWA) and R5DOS Feature Attention A-star (RFA-Star). Both algorithms have been coded in Python and simulated on 2D grids with randomly scattered and densely clustered obstacle distributions, as well as on 3D terrains with complex features such as mountains. Performance metrics such as path length, computation time, reaction time, and obstacle avoidance have been calculated for the simulations. This study highlights the specific types of environments in which each algorithm performs best, along with the types of sensors typically required for their effective operation. The experiments indicate that DWA is best suited for highly dynamic and low or moderately clustered obstacles because of its reactive nature and adaptability. In contrast, RFA is more effective in dense, structured obstacle environments where global optimality is essential. The results of this research provide a guideline on which path planning algorithm should be selected depending on the operational environment.","","979-8-3315-3549-0","10.1109/ICSIT65336.2025.11295833","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11295833","UAV;Path Planning;Dynamic Window Approach;RFA-Star;Comparative Analysis","Precision agriculture;Three-dimensional displays;Navigation;Heuristic algorithms;Clustering algorithms;Autonomous aerial vehicles;Path planning;Sensors;Vehicle dynamics;Guidelines","","","","15","IEEE","19 Dec 2025","22-23 Aug. 2025","22-23 Aug. 2025","IEEE","IEEE Conferences"
