MUESTRA DE 44 REGISTROS — CRIBADO TÍTULO/RESUMEN — EVALUACIÓN INDEPENDIENTE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
12,TA_012,Research Rabbit / Snowballing,2022,10.3390/drones6060153,Multi-UAV Coverage through Two-Step Auction in Dynamic Environments,,,,
13,TA_013,IEEE Xplore,2022,10.1007/978-3-030-84152-2_5,On the Routing of Unmanned Aerial Vehicles (UAVs) in Precision Farming Sampling Missions,,,,
14,TA_014,IEEE Xplore,2025,10.1007/978-981-96-5277-8_2,Computations and Methods,,,,
15,TA_015,IEEE Xplore,2024,10.1007/978-981-97-2275-4_12,An Improved Trajectory Planning Method for Unmanned Aerial Vehicles in Complex Environments,,,,
16,TA_016,IEEE Xplore,2021,10.1007/978-3-030-68035-0_10,Distributed Greedy Approach for Autonomous Surveillance Using Unmanned Aerial Vehicles,,,,
17,TA_017,IEEE Xplore,2025,10.1038/s41598-025-93848-y,Research on collaborative scheduling strategies of multi-agent agricultural machinery groups,,,,
18,TA_018,ScienceDirect,2022,https://doi.org/10.1016/j.isatra.2021.03.041,An efficient and global interactive optimization methodology for path planning with multiple routing constraints,"Path planning problem is attracting wide attention in autonomous system and process industry system. The existed research mainly focuses on finding the shortest path from the source vertex to the termination vertex under loose constraints of vertex and edge. However, in realistic, the constraints su",,,
19,TA_019,Research Rabbit / Snowballing,2022,10.23919/softcom55329.2022.9911304,Energy-Efficient and Context-aware Trajectory Planning for Mobile Data Collection in IoT using Deep Reinforcement Learning,,,,
20,TA_020,IEEE Xplore,2025,10.1007/s40747-025-01846-4,An exploration-enhanced hybrid algorithm based on regularity evolution for multi-objective multi-UAV 3-D path planning,,,,
21,TA_021,Mendeley / IEEE export,2025,10.1109/seeda-cecnsm68644.2025.11329958,Smart Path Planning for UAV Navigation in Apple Orchards Using Digital Twin Validation,"This paper proposes an effective strategy for autonomous UAV path planning in apple orchards, aiming to enhance operational efficiency and flight safety in agricultural environments. The orchard is represented as a weighted graph, where each node corresponds to an apple tree and the edges are assign",,,
22,TA_022,ScienceDirect,2025,https://doi.org/10.1016/j.swevo.2024.101840,A two-stage optimization approach to image-capture window positioning and path planning for automatic optical inspection,Automatic optical inspection is an effective method to improve inspection efficiency in the manufacturing industry. This study has divided the automatic optical image acquisition problem into two subproblems and proposed a two-stage image acquisition method for incremental optimization to mitigate t,,,
23,TA_023,IEEE Xplore,2025,10.1007/978-3-032-02106-9_68,"Review on&#xa0;Agricultural Robotics for&#xa0;Carbon Emission Reduction: A Synergistic Perspective on&#xa0;Technology, Sustainability, and&#xa0;Art",,,,
24,TA_024,Research Rabbit / Snowballing,2022,10.1016/j.comcom.2022.10.018,A comprehensive survey on age of information in massive IoT networks,,,,
25,TA_025,Research Rabbit / Snowballing,2022,10.1109/igarss46834.2022.9883639,A Time-Domain Image Formation for High Frame Rate UAV Swarm SAR,,,,
26,TA_026,IEEE Xplore,2024,10.1186/s13638-024-02401-4,Computational offloading into UAV swarm networks: a systematic literature review,,,,
27,TA_027,ScienceDirect,2023,https://doi.org/10.1016/j.jksuci.2023.101603,Monte Carlo-based improved ant colony optimization for path planning of welding robot,"For spot-welding process, rational path planning of weld points can improve productivity for welding robot. In basic ant colony optimization, at the beginning of the iteration, the pheromone concentration is only related to the path length, but at this time, the path often contains a lot of redundan",,,
28,TA_028,IEEE Xplore,2025,10.1007/s44187-025-00419-1,The impact of machine learning applications in agricultural supply chain: a topic modeling-based review,,,,
29,TA_029,ScienceDirect,2025,https://doi.org/10.1016/j.jobe.2024.111725,Emergency path planning based on improved ant colony algorithm,"With the increasing complexity of building structures, scientific and effective emergency evacuation path planning plays a vital role in reducing casualties and property losses. Owing to the characteristics of positive feedback, strong robustness and low computational complexity, etc., Ant Colony Op",,,
30,TA_030,ScienceDirect,2025,https://doi.org/10.1016/j.conengprac.2025.106470,Integrated path planning and control for autonomous vehicle platooning,"Platooning provides various benefits, such as improving traffic system efficiency and reducing fuel consumption. Existing research on platooning has primarily concentrated on longitudinal control in highways or dedicated road environments. However, these approaches can significantly reduce platoonin",,,
31,TA_031,IEEE Xplore,2025,10.1007/s11370-025-00592-3,Path planning for greenhouse robots using a hybrid Dung beetle algorithm,,,,
32,TA_032,IEEE Xplore,2025,10.1007/978-3-031-87775-9_25,IoRT and&#xa0;AI-Driven Solution for&#xa0;Optimal Herbicides Spray on&#xa0;Weeds in&#xa0;a&#xa0;Dynamic Agriculture Environment,,,,
33,TA_033,ScienceDirect,2022,https://doi.org/10.1016/j.jksuci.2022.03.004,Dynamic indoor path planning for the visually impaired,"Independent indoor navigation for the Visually Impaired (VI) is extremely challenging, especially in unfamiliar environments. This paper presents the development process for a navigator system for the VI that plans an optimized path to safely lead them to their desired destination. The first contrib",,,
34,TA_034,Research Rabbit / Snowballing,2021,10.3390/s21165664,Comparisons of Differential Filtering and Homography Transformation in Modal Parameter Identification from UAV Measurement,,,,
35,TA_035,IEEE Xplore,2025,10.1007/978-3-031-80961-3_6,Unlocking the Potential of Machine Learning for Enhanced Security in Drone-Enabled IoT Networks,,,,
36,TA_036,ScienceDirect,2025,https://doi.org/10.1016/j.eswa.2024.126095,A bi-level hybrid algorithm for solving multi-target inspection path planning problem of mobile robot in complex radioactive indoor environment,"Multi-target inspection path planning (MTIPP) of mobile robot (MR) represents a significant area of research in the context of environmental monitoring and routine inspection of nuclear power plants (NPPs). Given the challenges posed by complex radioactive indoor environments, characterized by the p",,,
37,TA_037,IEEE Xplore,2025,10.1007/s10586-025-05358-1,DLC-NGO: an enhanced northern goshawk optimization for 3D UAV path planning in complex environments with multiple threats,,,,
38,TA_038,Research Rabbit / Snowballing,2022,10.1016/j.oceaneng.2022.113432,Adaptive adjustable fast marching square method based path planning for the swarm of heterogeneous unmanned surface vehicles (USVs),,,,
39,TA_039,ScienceDirect,2022,https://doi.org/10.1016/j.jocs.2022.101637,Multi-robot cooperation and path planning for stick transporting using improved Q-learning and democratic robotics PSO,The highlight of this paper is to propose an innovative method for solving the problem of path planning and synchronization of robot pairs in a known static and complex environment. The problem addresses the stick transportation by robot pairs from the predefined starting position to the pre-assumed,,,
40,TA_040,ScienceDirect,2024,https://doi.org/10.1016/j.comcom.2023.12.040,Path planning of unmanned vehicles based on adaptive particle swarm optimization algorithm,"Path planning technology is the basis of autonomous driving of unmanned vehicles. However, there are some problems in the traditional path planning technology. For example, high-quality global paths can't be generated quickly; Lacking of security verification ability; The performance of dynamic obst",,,
41,TA_041,ScienceDirect,2025,https://doi.org/10.1016/j.ins.2024.121714,MAHACO: Multi-algorithm hybrid ant colony optimizer for 3D path planning of a group of UAVs,"Path planning is a critical part of unmanned aerial vehicle (UAV) achieving mission objectives, and the complexity of this problem is further increased when used for a group of UAVs. In addition, introducing curves based on different polynomials can design a smooth path for UAV that is continuous an",,,
42,TA_042,IEEE Xplore,2023,10.1007/s11370-022-00452-4,"Unmanned aerial vehicles (UAVs): practical aspects, applications, open challenges, security issues, and future trends",,,,
43,TA_043,Research Rabbit / Snowballing,2024,10.1109/iconstem60960.2024.10568689,Swarm Intelligence for Multi-Robot Coordination in Industrial Environments,,,,
44,TA_044,IEEE Xplore,2025,10.1007/s11831-025-10408-3,"Metaheuristic Algorithms Since 2020: Development, Taxonomy, Analysis, and Applications",,,,
