ID,Título,Autor_Principal,Año,Fuente,DOI,Algoritmo,Validación,UAVs,Aplicación,Decisión_Tú,Criterio_Exclusión,Justificación_Breve,Decisión_Coautor,Notas_Coautor
PAPER_011,Path Planning for Multiple Targets Interception by the Swarm of UAVs based on Swarm Intelligence Algorithms: A Review,Abhishek Sharma,2021,"Abhishek Sharma, Shraga Shoval, Abhinav Sharma, Jitendra Kumar Pandey",10.1080/02564602.2021.1894250,Review,Revisión Teórica,Enjambre de UAVs (grupo altamente escalable y redundante); simulaciones citadas mencionan desde grupos pequeños hasta 25 objetivos,Otro,Incluir,,,,
PAPER_012,A Novel Sparrow Particle Swarm Algorithm (SPSA) for Unmanned Aerial Vehicle Path Planning,Wangwang Yu,2021,"Wangwang Yu, Jun Liu, Jie Zhou",https://doi.org/10.1155/2021/5158304,PSO,Simulación+Experimentos,Centrado en planificación de un solo UAV para alcanzar punto objetivo desde punto de inicio,Otro,Incluir,,,,
PAPER_013,Chaos Particle Swarm Optimization Enhancement Algorithm for UAV Safe Path Planning,Hongyue Chu,2022,"Hongyue Chu, Junkai Yi, Fei Yang",10.3390/app12188977,PSO,Simulación+Experimentos,Pruebas centradas en trayectoria de un UAV individual entre punto de inicio y objetivo,Otro,Incluir,,,,
PAPER_014,Coverage Path Planning Methods Focusing on Energy Efficient and Cooperative Strategies for Unmanned Aerial Vehicles,Georgios Fevgas,2022,"Georgios Fevgas, Thomas Lagkas, Vasileios Argyriou, Panagiotis Sarigiannidis",10.3390/s22031235,Otro,Simulación+Experimentos,UAV único y múltiples UAVs (flotas homogéneas y heterogéneas),Búsqueda-Rescate,Incluir,,,,
PAPER_015,Optimization Methods Applied to Motion Planning of Unmanned Aerial Vehicles: A Review,Amber Israr,2022,"Amber Israr, Zain Anwar Ali, Eman H. Alkhammash, Jari Juhani Jussila",10.3390/drones6050126,Review,Revisión Teórica,Analiza UAVs individuales y múltiples (enjambres/cooperativos),Búsqueda-Rescate,Incluir,,,,
PAPER_016,A Novel UAV Path Planning Algorithm Based on Double-Dynamic Biogeography-Based Learning Particle Swarm Optimization,Yisheng Ji,2022,"Yisheng Ji, Xinchao Zhao, Junling Hao",10.1155/2022/8519708,PSO,Solo Simulación,Centrado en comportamiento de un solo UAV a través de diversos puntos de trayectoria (m puntos),Otro,Incluir,,,,
PAPER_017,UAV Path Planning Using Optimization Approaches: A Survey,Amylia Ait Saadi; Assia Soukane; Yassine Meraihi; Asma Benmessaoud Gabis; Seyedali Mirjalili; Amar Ramdane-Cherif,2022,Amylia Ait Saadi; Assia Soukane; Yassine Meraihi; Asma Benmessaoud Gabis; Seyedali Mirjalili; Amar Ramdane-Cherif,https://doi.org/10.1007/s11831-022-09742-7,Review,Revisión Teórica,Aborda tanto casos de un solo UAV como de UAVs múltiples (Multi-UAVs) y sistemas cooperativos.,Búsqueda-Rescate,Incluir,,,,
PAPER_018,Design an Optimal ANFIS Controller using Bee Colony Optimization for Trajectory Tracking of a Quadrotor UAV,Boumediene Selma; Samira Chouraqui; Belkacem Selma; Hassane Abouaïssa,2022,Boumediene Selma; Samira Chouraqui; Belkacem Selma; Hassane Abouaïssa,https://doi.org/10.1007/s40031-022-00747-1,ABC,Solo Simulación,1 UAV,Otro,Incluir,,,,
PAPER_019,Convergence Analysis of Path Planning of Multi-UAVs Using Max-Min Ant Colony Optimization Approach.,Muhammad Shafiq,2022,"Muhammad Shafiq, Zain Anwar Ali, Amber Israr, Eman H. Alkhammash, Myriam Hadjouni y Jari Juhani Jussila.",https://doi.org/10.3390/s22145395,ACO,Solo Simulación,Múltiples UAVs (2 en simulaciones),Mapeo,Incluir,,,,
PAPER_020,An Intelligently Enhanced Ant Colony Optimization Algorithm for Global Path Planning of Mobile Robots in Engineering Applications,Peng Li,2025,"Peng Li, Lei Wei, Dongsu Wu",10.3390/s25051326,ACO,Simulación+Experimentos,,Otro,Incluir,,,,
PAPER_021,Distributed 3-D Path Planning for Multi-UAVs with Full Area Surveillance Based on Particle Swarm Optimization,Nafis Ahmed,2021,"Nafis Ahmed, Chaitali J. Pawase and KyungHi Chang",,PSO,No especificada,No especificado,Otro,Incluir,,,,
PAPER_022,A Task Allocation Strategy of the UAV Swarm Based on Multi-Discrete Wolf Pack Algorithm,Shufang Xu,2022,"Shufang Xu, Linlin Li, Ziyun Zhou, Yingchi Mao and Jianxin Huang",,WPA,No especificada,No especificado,Otro,Incluir,,,,
PAPER_023,Research on Path Planning Method for Mobile Platforms Based on Hybrid Swarm Intelligence Algorithms in Multi-Dimensional Environments,Shuai Wang,2025,"Shuai Wang, Yifan Zhu, Yuhong Du and Ming Yang",,Híbrido,No especificada,No especificado,Otro,Incluir,,,,
PAPER_024,Three-Dimensional Path Planning of UAV Based on Improved Particle Swarm Optimization,Lixia Deng,2023,"Lixia Deng, Huanyu Chen, Xiaoyiqun Zhang and Haiying Liu",,PSO,No especificada,No especificado,Otro,Incluir,,,,
PAPER_025,Multi-Unmanned Aerial Vehicle Path Planning Based on Improved Nutcracker Optimization Algorithm,Chang Xiao,2025,"Chang Xiao, Huiliao Yang and Bo Zhang",,NOA,No especificada,No especificado,Otro,Incluir,,,,
PAPER_026,Enhancing Swarm Intelligence for Obstacle Avoidance with Multi-Strategy and Improved Dung Beetle Optimization Algorithm in Mobile Robot Navigation,Longhai Li,2023,"Longhai Li, Lili Liu, Yuxuan Shao, Xu Zhang, Yue Chen, Ce Guo and Heng Nian",,DBO,No especificada,No especificado,Otro,Incluir,,,,
PAPER_027,A Multi-Strategy Collaborative Grey Wolf Optimization Algorithm for UAV Path Planning,Chaoyi Rao,2024,"Chaoyi Rao, Zilong Wang and Peng Shao",,GWO,No especificada,No especificado,Otro,Incluir,,,,
PAPER_028,An Efficient UAV Localization Technique Based on Particle Swarm Optimization,Weizheng Zhang; Wei Zhang,2022,Weizheng Zhang; Wei Zhang,10.1109/TVT.2022.3178228,PSO,No especificada,No especificado,Otro,Incluir,,,,
PAPER_029,Improved Particle Swarm Optimization Based on Fuzzy Controller Fusion of Multiple Strategies for Multi-Robot Path Planning,Jialing Hu,2025,"Jialing Hu, Yanqi Zheng, Siwei Wang and Changjun Zhou",,PSO,No especificada,No especificado,Otro,Incluir,,,,
PAPER_030,Hybrid APF–PSO Algorithm for Regional Dynamic Formation of UAV Swarms ,Lei Zuo,2025,"Lei Zuo,Ying Wang, Yu Lu, Ruiwen Gu",,PSO,No especificada,No especificado,Otro,Incluir,,,,
PAPER_031,Three-Dimensional Path Planning for UAV Based on Multi-Strategy Dream Optimization Algorithm,Xingyu Yang,2025,"Xingyu Yang, Shiwei Zhao, Wei Gao, Peifeng Li, Zhe Feng, Lijing Li, Tongyao Jia and Xuejun Wang",,DOA,No especificada,No especificado,Otro,Incluir,,,,
PAPER_033,UAV Formation Trajectory Planning Algorithms: A Review,Yunhong Yang,2023,"Yunhong Yang, Xingzhong Xiong and Yuehao Yan",,Review,No especificada,No especificado,Otro,Incluir,,,,
PAPER_034,Swarm intelligence algorithms for multiple unmanned aerial vehicles collaboration: a comprehensive review,Jun Tang ,2022,Jun Tang ,,Review,No especificada,No especificado,Otro,Incluir,,,,
EXC_01,"An Intelligently Enhanced Ant Colony Optimization Algorithm... (mobile robots, non-agricultural)",Li et al. (2025),2025,Li et al. (2025),,,,,,Excluir,E3,"E3 – Single-UAV focus, no swarm coordination",,
EXC_02,Path Planning of the Swarm UAVs in the Constrained Environment: A Survey,Zhou et al. (2024),2024,Zhou et al. (2024),10.1109/ROBIO64047.2024.10907337,,,,,Excluir,E4,E4 – No SI algorithm; survey of non-SI methods,,
EXC_03,Enhancing Swarm Intelligence... in Mobile Robot Navigation,Li et al. (2023),2023,Li et al. (2023),10.3390/ELECTRONICS12214462,,,,,Excluir,E5,"E5 – Application domain: mobile robot navigation, not agricultural UAV",,
EXC_04,A novel hybrid Chaotic Aquila Optimization... for UAV path planning,Saadi et al. (2022),2022,Saadi et al. (2022),10.1016/J.COMPELECENG.2022.108461,,,,,Excluir,E5,E5 – No agricultural application context,,
EXC_05,Path Planning for Multi-UAV Target Coverage via Improved GA-PSO Algorithm,Zhang et al. (2024),2024,Zhang et al. (2024),10.1109/RICAI64321.2024.10911798,,,,,Excluir,E4,E4 – GA-PSO without SI core component,,
EXC_06,UAV Path Planning Algorithm Based on Improved Harris Hawks Optimization,Zhang et al. (2022),2022,Zhang et al. (2022),10.3390/S22145232,,,,,Excluir,E4,E4 – Harris Hawks not classified as SI,,
EXC_07,An Accurate UAV 3-D Path Planning Method for Disaster Emergency Response...,Wan et al. (2022),2022,Wan et al. (2022),10.1109/TCYB.2022.3170580,,,,,Excluir,E5,"E5 – Disaster emergency response, no agricultural application",,
EXC_08,Swarm Intelligence-Based Trajectory Planning and Collision Avoidance for Flying Cars,Srilekha et al. (2025),2025,Srilekha et al. (2025),10.1109/RFCON62306.2025.11085189,,,,,Excluir,E5,"E5 – Flying cars / aerial transportation, not agricultural UAV",,
EXC_09,Adaptive cylinder vector particle swarm optimization with differential evolution for UAV path planning,Huang et al. (2023),2023,Huang et al. (2023),10.1016/j.engappai.2023.105942,,,,,Excluir,E3,E3 – Single-UAV; no multi-agent coordination component,,
EXC_10,Research on Bi-Directional Collaborative Multi-Step Ant Colony Optimization for Path Planning,Chen et al. (2024),2024,Chen et al. (2024),10.1109/AIHCIR65563.2024.00007,,,,,Excluir,E5,"E5 – General path planning, no agricultural application context",,
EXC_11,SIGPAF: A Case Study on Unmanned Surface Vehicle Multi-Objective Path Planning,Ntakolia & Lyridis (2021b),2021,Ntakolia & Lyridis (2021b),10.3390/JMSE9111243,,,,,Excluir,E5,"E5 – Unmanned Surface Vehicle, not UAV",,
EXC_12,Machine Learning Technologies for Secure Vehicular Communication in Internet of Vehicles,Ali et al. (2021),2021,Ali et al. (2021),,,,,,Excluir,E5,"E5 – Vehicular communication / IoV, no UAV path planning",,
EXC_13,PackerRobo: Model-based robot vision self supervised learning in CART,Khan et al. (2022),2022,Khan et al. (2022),,,,,,Excluir,E5,"E5 – Robot vision / self-supervised learning, no UAV or SI path planning",,
EXC_14,Near-Ground Delivery Drones Path Planning Design Based on BOA-TSAR Algorithm,Luo et al. (2022),2022,Luo et al. (2022),,,,,,Excluir,E4,E4 – BOA-TSAR is not a swarm intelligence algorithm,,
EXC_15,Classifiers based on artificial intelligence in the prediction of coffee cultivars using RPAS,Bento et al. (2023),2023,Bento et al. (2023),,,,,,Excluir,E4,"E4 – Classifier-based crop prediction, no path planning or SI algorithm",,
EXC_16,Real-Time Search and Rescue using RPAS with Frame Dropping,Sharma & Aibin (2023),2023,Sharma & Aibin (2023),,,,,,Excluir,E5,E5 – Search and rescue with frame dropping; no SI path planning algorithm,,
EXC_17,A comprehensive review on the users identity privacy for 5G networks,Saeed et al. (2022),2022,Saeed et al. (2022),,,,,,Excluir,E5,E5 – 5G user identity privacy; no UAV or SI path planning content,,
EXC_18,On Safety Assurance of Symbolic Artificial Intelligence,Guzman et al. (2024),2024,Guzman et al. (2024),,,,,,Excluir,E5,E5 – Safety assurance for symbolic AI; no UAV or SI path planning,,
