ID_Manuscrito,Referencia,Título,Año,Fuente,DOI,Algoritmo,Validación,UAVs,Aplicación
PAPER_011,"Abhishek Sharma, Shraga Shoval, Abhinav Sharma, Jitendra Kumar Pandey",Path Planning for Multiple Targets Interception by the Swarm of UAVs based on Swarm Intelligence Algorithms: A Review,2021,IETE Technical Review,10.1080/02564602.2021.1894250,Review,Revisión Teórica,Enjambre de UAVs (grupo altamente escalable y redundante); simulaciones citadas mencionan desde grupos pequeños hasta 25 objetivos,Otro
PAPER_012,"Wangwang Yu, Jun Liu, Jie Zhou",A Novel Sparrow Particle Swarm Algorithm (SPSA) for Unmanned Aerial Vehicle Path Planning,2021,Scientific Programming (Volumen 2021),https://doi.org/10.1155/2021/5158304,PSO,Simulación+Experimentos,Centrado en planificación de un solo UAV para alcanzar punto objetivo desde punto de inicio,Otro
PAPER_013,"Hongyue Chu, Junkai Yi, Fei Yang",Chaos Particle Swarm Optimization Enhancement Algorithm for UAV Safe Path Planning,2022,Applied Sciences (MDPI),10.3390/app12188977,PSO,Simulación+Experimentos,Pruebas centradas en trayectoria de un UAV individual entre punto de inicio y objetivo,Otro
PAPER_014,"Georgios Fevgas, Thomas Lagkas, Vasileios Argyriou, Panagiotis Sarigiannidis",Coverage Path Planning Methods Focusing on Energy Efficient and Cooperative Strategies for Unmanned Aerial Vehicles,2022,Sensors (MDPI),10.3390/s22031235,Otro,Simulación+Experimentos,UAV único y múltiples UAVs (flotas homogéneas y heterogéneas),Búsqueda-Rescate
PAPER_015,"Amber Israr, Zain Anwar Ali, Eman H. Alkhammash, Jari Juhani Jussila",Optimization Methods Applied to Motion Planning of Unmanned Aerial Vehicles: A Review,2022,Drones (MDPI),10.3390/drones6050126,Review,Revisión Teórica,Analiza UAVs individuales y múltiples (enjambres/cooperativos),Búsqueda-Rescate
PAPER_016,"Yisheng Ji, Xinchao Zhao, Junling Hao",A Novel UAV Path Planning Algorithm Based on Double-Dynamic Biogeography-Based Learning Particle Swarm Optimization,2022,Mobile Information Systems (Hindawi),10.1155/2022/8519708,PSO,Solo Simulación,Centrado en comportamiento de un solo UAV a través de diversos puntos de trayectoria (m puntos),Otro
PAPER_017,Amylia Ait Saadi; Assia Soukane; Yassine Meraihi; Asma Benmessaoud Gabis; Seyedali Mirjalili; Amar Ramdane-Cherif,UAV Path Planning Using Optimization Approaches: A Survey,2022,Archives of Computational Methods in Engineering,https://doi.org/10.1007/s11831-022-09742-7,Review,Revisión Teórica,Aborda tanto casos de un solo UAV como de UAVs múltiples (Multi-UAVs) y sistemas cooperativos.,Búsqueda-Rescate
PAPER_018,Boumediene Selma; Samira Chouraqui; Belkacem Selma; Hassane Abouaïssa,Design an Optimal ANFIS Controller using Bee Colony Optimization for Trajectory Tracking of a Quadrotor UAV,2022,"Journal of The Institution of Engineers (India): Series B, 103(5):1505-1519",https://doi.org/10.1007/s40031-022-00747-1,ABC,Solo Simulación,1 UAV,Otro
PAPER_019,"Muhammad Shafiq, Zain Anwar Ali, Amber Israr, Eman H. Alkhammash, Myriam Hadjouni y Jari Juhani Jussila.",Convergence Analysis of Path Planning of Multi-UAVs Using Max-Min Ant Colony Optimization Approach.,2022,Sensors (MDPI),https://doi.org/10.3390/s22145395,ACO,Solo Simulación,Múltiples UAVs (2 en simulaciones),Mapeo
PAPER_020,"Peng Li, Lei Wei, Dongsu Wu",An Intelligently Enhanced Ant Colony Optimization Algorithm for Global Path Planning of Mobile Robots in Engineering Applications,2025,Sensors (MDPI),10.3390/s25051326,ACO,Simulación+Experimentos,,Otro
PAPER_021,"Nafis Ahmed, Chaitali J. Pawase and KyungHi Chang",Distributed 3-D Path Planning for Multi-UAVs with Full Area Surveillance Based on Particle Swarm Optimization,2021,pdfTeX-1.40.21,,PSO,No especificada,No especificado,Otro
PAPER_022,"Shufang Xu, Linlin Li, Ziyun Zhou, Yingchi Mao and Jianxin Huang",A Task Allocation Strategy of the UAV Swarm Based on Multi-Discrete Wolf Pack Algorithm,2022,pdfTeX-1.40.21,,WPA,No especificada,No especificado,Otro
PAPER_023,"Shuai Wang, Yifan Zhu, Yuhong Du and Ming Yang",Research on Path Planning Method for Mobile Platforms Based on Hybrid Swarm Intelligence Algorithms in Multi-Dimensional Environments,2025,pdfTeX-1.40.25; modified using OpenPDF 1.4.2,,Híbrido,No especificada,No especificado,Otro
PAPER_024,"Lixia Deng, Huanyu Chen, Xiaoyiqun Zhang and Haiying Liu",Three-Dimensional Path Planning of UAV Based on Improved Particle Swarm Optimization,2023,pdfTeX-1.40.21,,PSO,No especificada,No especificado,Otro
PAPER_025,"Chang Xiao, Huiliao Yang and Bo Zhang",Multi-Unmanned Aerial Vehicle Path Planning Based on Improved Nutcracker Optimization Algorithm,2025,pdfTeX-1.40.25; modified using OpenPDF 1.4.2,,NOA,No especificada,No especificado,Otro
PAPER_026,"Longhai Li, Lili Liu, Yuxuan Shao, Xu Zhang, Yue Chen, Ce Guo and Heng Nian",Enhancing Swarm Intelligence for Obstacle Avoidance with Multi-Strategy and Improved Dung Beetle Optimization Algorithm in Mobile Robot Navigation,2023,pdfTeX-1.40.21,,DBO,No especificada,No especificado,Otro
PAPER_027,"Chaoyi Rao, Zilong Wang and Peng Shao",A Multi-Strategy Collaborative Grey Wolf Optimization Algorithm for UAV Path Planning,2024,pdfTeX-1.40.25,,GWO,No especificada,No especificado,Otro
PAPER_028,Weizheng Zhang; Wei Zhang,An Efficient UAV Localization Technique Based on Particle Swarm Optimization,2022,Acrobat Distiller 11.0 (Windows); modified using iText® 7.1.16 ©2000-2021 iText Group NV (AGPL-version),10.1109/TVT.2022.3178228,PSO,No especificada,No especificado,Otro
PAPER_029,"Jialing Hu, Yanqi Zheng, Siwei Wang and Changjun Zhou",Improved Particle Swarm Optimization Based on Fuzzy Controller Fusion of Multiple Strategies for Multi-Robot Path Planning,2025,pdfTeX-1.40.25; modified using OpenPDF 1.4.2,,PSO,No especificada,No especificado,Otro
PAPER_030,"Lei Zuo,Ying Wang, Yu Lu, Ruiwen Gu",Hybrid APF–PSO Algorithm for Regional Dynamic Formation of UAV Swarms ,2025,MiKTeX pdfTeX-1.40.25; modified using OpenPDF 1.4.2,,PSO,No especificada,No especificado,Otro
PAPER_031,"Xingyu Yang, Shiwei Zhao, Wei Gao, Peifeng Li, Zhe Feng, Lijing Li, Tongyao Jia and Xuejun Wang",Three-Dimensional Path Planning for UAV Based on Multi-Strategy Dream Optimization Algorithm,2025,pdfTeX-1.40.25; modified using OpenPDF 1.4.2,,DOA,No especificada,No especificado,Otro
PAPER_033,"Yunhong Yang, Xingzhong Xiong and Yuehao Yan",UAV Formation Trajectory Planning Algorithms: A Review,2023,pdfTeX-1.40.21,,Review,No especificada,No especificado,Otro
PAPER_034,Jun Tang ,Swarm intelligence algorithms for multiple unmanned aerial vehicles collaboration: a comprehensive review,2022,Acrobat Distiller 10.1.8 (Windows),,Review,No especificada,No especificado,Otro
